,Waterbody '07-08 '08-09 '09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17 '17-18 '18-19,,,,,
203,DESCHUTES R ABOVE SHERARS FALLS,1573,1360,4171,1393,1254,667,475,696,969,355,342,365
205,SANDY R FROM REVENUE BRIDGE TO,,,,,,,,,,,,
12,20,7,5,40,44,45,118,44,42,13,19,,
208,JOHN DAY ARM,681,400,871,364,407,380,264,145,172,244,20,-
209,L FALL CR (WILLAMETTE),-,-,45,33,-,13,5,-,7,6,20,-
210,COAST FK WILL,53,8,16,7,12,-,25,18,32,42,-,-
211,COLUMBIA R--BUOY 10 TO TONGUE PT,566,161,243,160,161,248,120,552,146,125,54,22
212,COLUMBIA R--TONGUE PT TO LONGVIEW,,,,,,,,,,,,
1305,1041,1342,1993,3088,3317,1253,2174,1052,1413,304,985,,
213,COLUMBIA R--LONGVIEW BRIDGE TO I-5,,,,,,,,,,,,
1305,1008,2332,2141,2583,2354,1504,1841,1311,1065,162,520,,
214,COLUMBIA R--I-5 BRIDGE TO BONNEVILLE,,,,,,,,,,,,
2143,2633,2275,2468,1860,1650,1053,1435,836,835,88,487,,
215,COLUMBIA R--BONNEVILLE DAM TO THE,,,,,,,,,,,,
858,845,1298,1166,696,470,610,789,554,258,135,232,,
216,COLUMBIA R--THE DALLES DAM TO JOHN,,,,,,,,,,,,
1236,1218,1138,921,908,885,403,908,793,737,122,33,,
217,COLUMBIA R--JOHN DAY DAM TO MCNARY,,,,,,,,,,,,
1206,588,1263,787,763,450,287,341,505,278,74,33,,
218,COLUMBIA R--MCNARY DAM TO,,,,,,,,,,,,
2515,1231,2585,858,599,1578,774,1056,1719,1175,175,-,,
220,LONG TOM,-,-,-,-,-,-,-,-,-,-,-,-
221,ROW R,20,12,11,33,30,27,20,12,6,14,7,11
222,WILEY CR (S SANTIAM),8,-,7,4,-,-,-,-,-,-,7,-
223,BLUE R (MCKENZIE),-,8,4,4,-,4,-,-,-,-,-,-
228,ROGUE R ABOVE GOLD RAY DAM,858,381,1117,1516,1170,1908,1331,2075,2253,2372,1628,1365
229,HOOD R,484,560,745,612,305,251,210,142,182,146,88,129
230,HOOD R ABOVE POWERDALE DAM,11,14,15,22,-,-,-,-,-,-,-,-
231,GRANDE RONDE R FROM STATELINE TO,,,,,,,,,,,,
1930,1547,4413,1272,1274,1087,808,1495,1802,675,317,133,,
232,GRANDE RONDE R FROM WILDCAT,,,,,,,,,,,,
164,204,1906,354,378,433,59,256,282,146,110,11,,
233,GRANDE RONDE R ABOVE ISLAND CITY,,,,,,,,,,,,
33,4,58,30,-,9,-,77,-,-,-,-,,
234,WALLOWA R MOUTH TO MINAM STATE,,,,,,,,,,,,
3402,1842,5628,2979,2218,2165,471,2444,2124,151,326,-,,
235,WALLOWA R ABOVE MINAM STATE PARK,2297,2369,3344,2890,1750,1398,990,3196,2471,192,836,-
236,UMATILLA R BELOW THREE-MILE DAM,171,106,187,85,227,166,200,114,142,83,20,-
237,UMATILLA R ABOVE NOLIN,313,122,165,151,135,125,61,307,87,-,36,-
238,JOHN DAY R BELOW COTTONWOOD,,,,,,,,,,,,
236,272,784,271,328,185,194,57,77,56,81,44,,
239,JOHN DAY R ABOVE COTTONWOOD,,,,,,,,,,,,
24,74,134,26,103,27,20,61,25,-,-,22,,
241,LOOKINGGLASS CR,-,8,8,-,26,9,15,6,20,7,-,-
242,POWDER R,-,12,-,11,13,9,-,13,14,-,-,-
243,UMATILLA R THREE-MILE DAM TO NOLIN,53,93,128,132,96,119,108,200,207,56,-,-
244,SANDY R ABOVE SALMON R,-,-,-,-,7,13,4,11,44,13,-,-
245,CLACK R.-CARVER BR. TO BAKERS FERRY,,,,,,,,,,,,
-,-,-,28,282,536,284,161,199,560,163,283,,
246,CLACK R-BAKERS FERRY RD TO RVR MILL,,,,,,,,,,,,
-,-,-,-,394,593,1043,906,560,1514,228,661,,
247,CLACK R-RIVER MILL DAM TO CAZADERO,,,,,,,,,,,,
-,-,-,-,188,612,393,460,127,794,201,314,,
250,JOHN DAY R (CLATSOP CTY),-,-,-,-,-,-,-,-,-,-,-,-
