,Unnamed: 0,"Sport catch of Fall Chinook in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(2018-2019 numbers are 'Preliminary'),,,,,,,,,,,,,,,,
Code,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,228.0,ROGUE R ABOVE GOLD RAY DAM,14,3,9,76,104,100,103,129,218,138,147,148
240,,,,,,,,,,,,,,,240.0,ISTHMUS SLOUGH,116,211,142,346,464,342,402,105,255,195,246,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Columbia River and Tributaries,,,,,,,,,,,,
112.0,,,,,,,,,,,,,,,112.0,ABERNATHY CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
113.0,,,,,,,,,,,,,,,113.0,ABIQUA CR (PUDDING R),-,-,-,-,-,-,-,-,-,-,-,-
114.0,,,,,,,,,,,,,,,114.0,BEAR CR (CLATSOP CO),-,8,-,7,-,4,9,10,53,-,-,-
115.0,,,,,,,,,,,,,,,115.0,BEAVER CR (COL CO),4,4,4,-,-,-,22,15,30,-,-,-
116.0,,,,,,,,,,,,,,,116.0,BIG CR (CLATSOP CO),73,892,"1,102",608,314,505,453,621,373,286,486,705
117.0,,,,,,,,,,,,,,,117.0,BULLRUN R,31,4,-,-,-,-,-,10,-,6,-,-
118.0,,,,,,,,,,,,,,,118.0,BUTTE CR (PUDDING R),-,-,-,-,-,-,-,-,-,-,-,-
119.0,,,,,,,,,,,,,,,119.0,CALAPOOIA R,-,-,-,-,-,-,-,-,-,-,-,-
120.0,,,,,,,,,,,,,,,120.0,CATHERINE CR,-,-,-,-,-,-,-,-,-,-,-,-
122.0,,,,,,,,,,,,,,,122.0,CLACKAMAS R BELOW CARVERBRIDGE,158,129,127,202,80,33,27,45,47,13,139,10
123.0,,,,,,,,,,,,,,,123.0,CLATSKANIE R,12,12,12,21,3,25,18,10,18,6,13,10
124.0,,,,,,,,,,,,,,,124.0,CLEAR CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
125.0,,,,,,,,,,,,,,,125.0,COLLOWASH RIVER,-,-,-,-,-,-,-,-,-,-,-,-
126.0,,,,,,,,,,,,,,,126.0,HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,-,18,-,-,-
129.0,,,,,,,,,,,,,,,129.0,CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
131.0,,,,,,,,,,,,,,,131.0,DESCHUTES R BELOW SHERARSFALLS,500,603,798,778,"1,326","1,327","2,954","1,858","2,007","1,154",626,850
132.0,,,,,,,,,,,,,,,132.0,EAGLE CR (CLACK R),54,51,188,18,28,8,36,175,18,39,32,31
133.0,,,,,,,,,,,,,,,133.0,EAGLE CR (COLUMBIA R),27,23,15,7,66,4,93,25,47,-,-,-
134.0,,,,,,,,,,,,,,,134.0,FALL CR (WILLAMETTE R),-,-,-,-,-,-,-,-,-,-,-,-
135.0,,,,,,,,,,,,,,,135.0,FIFTEEN MILE CR,-,-,-,-,-,-,-,-,-,-,-,-
137.0,,,,,,,,,,,,,,,137.0,GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
138.0,,,,,,,,,,,,,,,138.0,GNAT CR,12,12,4,28,7,26,44,5,24,19,13,20
140.0,,,,,,,,,,,,,,,140.0,HERMAN CR (COL R),12,16,15,4,7,21,9,60,47,-,6,10
141.0,,,,,,,,,,,,,,,141.0,LOST CR (WILL R MID FK),-,-,-,-,-,-,4,-,-,-,-,-
142.0,,,,,,,,,,,,,,,142.0,E FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
143.0,,,,,,,,,,,,,,,143.0,W FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
144.0,,,,,,,,,,,,,,,144.0,IMNAHA R,-,-,-,-,-,-,-,-,-,-,-,-
148.0,,,,,,,,,,,,,,,148.0,JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
151.0,,,,,,,,,,,,,,,151.0,KLASKANINE R,77,82,60,78,77,192,133,115,59,110,6,10
152.0,,,,,,,,,,,,,,,152.0,N FK KLASKANINE,-,12,35,4,49,79,53,30,12,13,19,10
153.0,,,,,,,,,,,,,,,153.0,S FK KLASKANINE,8,4,8,-,-,-,-,190,-,-,-,-
154.0,,,,,,,,,,,,,,,154.0,LEWIS & CLARK R,23,39,31,14,108,79,98,65,53,13,19,10
155,,,,,,,,,,,,,,,155.0,MCKENZIE R (BELOW LEABURGDAM),-,-,-,-,-,-,-,-,-,-,-,-
156,,,,,,,,,,,,,,,156.0,LUCKIAMUTE & LITTLELUCKIAMUTE R,-,-,-,-,-,-,-,-,-,-,-,-
158,,,,,,,,,,,,,,,158.0,MCKENZIE R (ABOVE LEABURGDAM),-,-,-,-,-,-,-,-,-,-,-,-
159,,,,,,,,,,,,,,,159.0,MILL CR (MARION CO),-,-,-,-,-,-,-,-,-,-,-,-
161,,,,,,,,,,,,,,,161.0,MILL CR (YAMHILL CO),4,4,4,-,-,-,-,-,6,-,-,-
164,,,,,,,,,,,,,,,164.0,MOLALLA R,-,-,-,-,-,-,-,-,-,-,-,-
165,,,,,,,,,,,,,,,165.0,RICKREALL CR,-,-,-,-,-,-,-,-,-,-,-,-
166,,,,,,,,,,,,,,,166.0,PUDDING R,-,-,-,-,-,-,-,-,-,-,-,-
167,,,,,,,,,,,,,,,167.0,SALMON R (SANDY R),8,16,8,18,10,8,13,20,-,13,-,-
