Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
DESCHUTES R BELOW SHERARS,500,603,798,778,1326,1327,2954,1858,2007,1154,626,850
EAGLE CR (CLACK R),54,51,188,18,28,8,36,175,18,39,32,31
EAGLE CR (COLUMBIA R),27,23,15,7,66,4,93,25,47,-,-,-
FALL CR (WILLAMETTE R),-,-,-,-,-,-,-,-,-,-,-,-
FIFTEEN MILE CR,-,-,-,-,-,-,-,-,-,-,-,-
GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
GNAT CR,12,12,4,28,7,26,44,5,24,19,13,20
HERMAN CR (COL R),12,16,15,4,7,21,9,60,47,-,6,10
LOST CR (WILL R MID FK),-,-,-,-,-,-,4,-,-,-,-,-
E FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
W FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
IMNAHA R,-,-,-,-,-,-,-,-,-,-,-,-
JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
KLASKANINE R,77,82,60,78,77,192,133,115,59,110,6,10
N FK KLASKANINE,-,12,35,4,49,79,53,30,12,13,19,10
S FK KLASKANINE,8,4,8,-,-,-,-,190,-,-,-,-
LEWIS & CLARK R,23,39,31,14,108,79,98,65,53,13,19,10
MCKENZIE R (BELOW LEABURG,-,-,-,-,-,-,-,-,-,-,-,-
LUCKIAMUTE & LITTLE,-,-,-,-,-,-,-,-,-,-,-,-
MCKENZIE R (ABOVE LEABURG,-,-,-,-,-,-,-,-,-,-,-,-
MILL CR (MARION CO),-,-,-,-,-,-,-,-,-,-,-,-
MILL CR (YAMHILL CO),4,4,4,-,-,-,-,-,6,-,-,-
MOLALLA R,-,-,-,-,-,-,-,-,-,-,-,-
RICKREALL CR,-,-,-,-,-,-,-,-,-,-,-,-
PUDDING R,-,-,-,-,-,-,-,-,-,-,-,-
SALMON R (SANDY R),8,16,8,18,10,8,13,20,-,13,-,-
SANDY R FROM MOUTH TO,62,184,200,216,129,38,115,275,187,32,50,41
SANTIAM R,-,-,-,-,-,-,-,-,-,-,-,-
N FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
LITTLE N FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
S FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
SCAPPOOSE CR,-,8,-,-,-,-,-,-,-,-,-,-
N FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
S FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
SNAKE R,-,-,-,-,-,-,-,-,47,6,44,-
SUCKER CR,-,4,27,7,-,-,4,-,-,13,13,-
TANNER CR,-,-,4,-,17,4,4,5,18,-,19,10
THOMAS CR (SANT),-,-,-,-,-,-,-,-,-,-,-,-
TUALATIN R,8,-,-,4,-,-,-,-,-,-,-,-
UMATILLA R,-,-,-,-,17,-,11,10,6,-,-,-
WALLA WALLA R,-,12,-,-,3,-,-,5,-,-,-,-
WENAHA R,2,-,-,-,-,4,4,3,-,-,-,-
WILLAMETTE R & SLOUGH BELOW,93,59,38,138,199,146,218,150,302,221,322,72
WILLAMETTE R ABOVE OR CITY,12,8,19,32,63,17,53,90,18,13,-,-
MID FK WILL,-,-,-,-,-,-,-,-,-,-,-,-
WILLAMINA CR,-,-,-,-,-,-,-,-,12,-,-,-
YOUNGS R & BAY,35,63,38,141,188,125,138,115,36,97,6,10
SILVER CR,-,-,-,-,-,-,-,-,-,-,-,-
CLACKAMAS R SYSTEM ABOVE,-,-,-,-,-,-,-,-,-,-,-,-
DESCHUTES R ABOVE SHERARS,20,12,12,36,3,8,18,4,47,6,13,10
SANDY R FROM REVENUE,-,16,8,57,14,79,36,60,41,13,13,31
JOHN DAY ARM,4,-,8,-,3,13,4,-,12,-,6,-
L FALL CR (WILLAMETTE),-,-,-,-,-,-,-,-,-,-,-,-
COAST FK WILL,-,-,-,-,-,-,-,-,-,-,-,-
COLUMBIA R--BUOY 10 TO,2623,5107,4852,4704,8189,14382,16949,22291,26004,13713,18939,7786
COLUMBIA R--TONGUE PT TO,614,913,1484,1682,4030,3499,7316,3003,5092,2466,2209,1298
COLUMBIA R--LONGVIEW BRIDGE,2716,3584,5395,6053,8970,7181,8059,9034,16383,8898,7775,4526
COLUMBIA R--I-5 BRIDGE TO,2418,3052,3593,5254,6554,5107,7031,9277,13257,5757,6323,2605
COLUMBIA R--BONNEVILLE DAM,637,864,864,1592,1199,1752,3672,2570,5335,2220,2177,501
COLUMBIA R--THE DALLES DAM,379,356,664,622,690,747,3903,1959,2262,2109,2341,276
COLUMBIA R--JOHN DAY DAM TO,212,172,319,495,492,655,1150,1112,1374,402,934,194
