Sand Lake,,,,,,,,,,,,,,,,,,Sand Lake,9,6,3,0,6,0,3,4,29,30,8,15,19,5,6,19,,,,,,,,,,,,,,,,,
Schooner Creek (Siletz R),,,,,,,,,,,,,,,,,,Schooner Creek (Siletz R),28,39,27,37,39,6,6,0,0,0,0,4,16,9,0,16,,,,,,,,,,,,,,,,,
Siletz River & Bay,,,,,,,,,,,,,,,,,,Siletz River & Bay,"1,270","1,303",787,"1,805",888,894,846,851,816,"1,290","1,140","1,190",791,926,"1,123","1,879",,,,,,,,,,,,,,,,,
N. Fk. Siletz River,,,,,,,,,,,,,,,,,,N. Fk. Siletz River,41,6,30,86,24,0,45,44,22,10,4,41,35,9,13,4,,,,,,,,,,,,,,,,,
S. Fk. Siletz River,,,,,,,,,,,,,,,,,,S. Fk. Siletz River,28,36,50,24,6,9,26,8,53,29,43,12,9,27,37,19,,,,,,,,,,,,,,,,,
Siltcoos River & Lake,,,,,,,,,,,,,,,,,,Siltcoos River & Lake,21,30,18,46,66,12,87,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Siuslaw River & Bay,,,,,,,,,,,,,,,,,,Siuslaw River & Bay,691,387,357,377,518,398,867,672,889,"1,321","2,155","2,738","1,962","2,805","1,755","2,791",,,,,,,,,,,,,,,,,
N. Fk. Siuslaw River,,,,,,,,,,,,,,,,,,N. Fk. Siuslaw River,25,45,46,53,158,43,82,59,42,107,74,48,132,106,113,330,,,,,,,,,,,,,,,,,
Sixes River,,,,,,,,,,,,,,,,,,Sixes River,945,"1,168",394,337,577,493,520,279,322,262,"1,334",471,215,183,522,420,,,,,,,,,,,,,,,,,
Slick Rock Creek (Salmon R),,,,,,,,,,,,,,,,,,Slick Rock Creek (Salmon R),3,12,9,4,0,0,X,X,X,X,X,X,X,X,0,0,,,,,,,,,,,,,,,,,
Smith River,,,,,,,,,,,,,,,,,,Smith River,51,27,18,102,116,78,122,173,249,268,246,317,406,485,572,673,,,,,,,,,,,,,,,,,
N. Fk. Smith River,,,,,,,,,,,,,,,,,,N. Fk. Smith River,25,15,12,115,46,0,16,47,12,35,59,53,48,9,7,0,,,,,,,,,,,,,,,,,
Sweet Creek (Siuslaw R),,,,,,,,,,,,,,,,,,Sweet Creek (Siuslaw R),0,18,9,8,26,13,16,12,27,73,78,60,60,88,71,15,,,,,,,,,,,,,,,,,
