120,CATHERINE CR,0,0,0,0,0,0,0,0,0,0,0,0
122,CLACKAMAS R BELOW N FK DAM,60,81,127,43,118,131,128,113,104,235,44,206
123,CLATSKANIE R,23,8,0,9,0,10,9,59,59,25,11,8
124,CLEAR CK (CLACK R),11,21,3,0,0,3,0,0,3,0,18,0
129,CRABTREE CR (SANTIAM R),0,0,0,0,0,0,0,0,0,0,0,0
130,DEEP CR (CLACK R),0,0,0,0,0,0,0,0,0,0,0,0
131,DESCHUTES R BELOW SHERAR FALLS,45,38,0,237,187,353,244,810,710,725,638,400
132,EAGLE CR (CLACK R),23,8,14,6,68,71,154,84,12,29,54,22
133,EAGLE CR (COLUMBIA R),108,55,86,95,30,13,45,18,33,25,29,25.1
134,FALL CR (WILLAMETTE R),0,0,0,0,0,0,0,0,0,0,0,0
135,FIFTEEN MILE CR,0,0,0,0,0,7,0,0,0,0,0,0
137,GALES CR (TUALATIN R),0,0,0,0,0,0,0,0,0,0,0,0
138,GNAT CR,0,16,11,6,21,0,12,3,39,6,11,8
140,HERMAN CR (COL R),10,13,5,28,12,3,21,52,129,88,57,72
142,E FK HOOD,0,3,0,3,3,3,9,3,0,3,0,0
143,W FK HOOD,0,0,0,0,0,0,0,0,0,0,0,0
144,IMNAHA R,0,0,0,0,0,0,0,0,0,0,0,0
145,JOHN DAY R,0,0,0,0,0,0,0,0,0,0,0,0
146,MID FK JOHN DAY,0,0,0,0,0,0,0,0,0,0,0,0
147,N FK JOHN DAY,0,0,0,0,0,0,0,0,0,0,0,0
148,JOHNSON CR (WILL R),0,0,0,0,0,0,0,0,0,0,0,0
151,KLASKANINE R,5,5,25,32,27,30,146,142,245,86,94,71
152,N FK KLASKANINE,5,3,19,3,15,20,15,69,95,76,29,19
153,S FK KLASKANINE,5,0,10,0,0,3,0,0,0,6,4,0
154,LEWIS & CLARK R,0,3,6,21,3,0,0,9,0,12,4,11
155,MCKENZIE R (BELOW LEABURG DAM),0,0,0,0,0,0,0,0,0,0,0,0
156,LUCKIAMUTE R,0,0,0,0,0,0,0,0,0,0,0,0
157,MARYS R,0,0,0,0,0,0,0,0,0,0,0,0
158,MCKENZIE R (ABOVE LEABURG DAM),0,0,0,0,0,0,0,0,0,0,0,0
161,MILL CR (YAMHILL CO),0,0,0,3,0,0,0,3,0,0,0,0
162,MILTON CR (COL CO),0,0,0,0,0,0,0,0,0,0,0,0
