"Deschutes River, Upper",,,,,,,,,,,,,,,,,,,"Deschutes River, Upper",--,--,--,--,--,--,0,0,4,18,23,6,15,11,2,0,0
Eagle Creek (Clackamas R),,,,,,,,,,,,,,,,,,,Eagle Creek (Clackamas R),155,695,425,281,155,173,261,86,14,199,222,370,942,171,14,4,3
Eagle Creek (Columbia R),,,,,,,,,,,,,,,,,,,Eagle Creek (Columbia R),3,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Fall Creek (Willamette R),,,,,,,,,,,,,,,,,,,Fall Creek (Willamette R),238,12,15,21,49,31,0,0,32,5,20,0,3,6,23,0,3
Fifteenmile Creek,,,,,,,,,,,,,,,,,,,Fifteenmile Creek,0,6,6,0,10,16,3,0,0,0,0,0,0,0,0,0,0
Hood River,,,,,,,,,,,,,,,,,,,Hood River,0,3,15,9,6,12,3,4,11,0,8,41,857,309,484,298,294
Hood R. Mouth to Powerdale Dam (a),,,,,,,,,,,,,,,,,,,Hood R. Mouth to Powerdale Dam (a),,,,,,,,,,--,--,--,--,--,--,--,--
Hood R. Above Powerdale Dam (a),,,,,,,,,,,,,,,,,,,Hood R. Above Powerdale Dam (a),,,,,,,,,,--,--,--,--,--,--,--,--
Hood R. E. FK and W. Fk.,,,,,,,,,,,,,,,,,,,Hood R. E. FK and W. Fk.,0,0,0,0,0,0,0,0,0,0,0,0,127,48,7,42,12
John Day R .N. Fk.,,,,,,,,,,,,,,,,,,,John Day R .N. Fk.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0
"McKenzie River, Lower",,,,,,,,,,,,,,,,,,,"McKenzie River, Lower",924,312,384,493,627,206,567,459,354,"1,339","1,133","1,730","1,387","1,922","1,195","1,761",439
"McKenzie River, Upper",,,,,,,,,,,,,,,,,,,"McKenzie River, Upper",--,--,--,--,--,15,51,8,29,29,86,134,315,64,81,80,18
Molalla River,,,,,,,,,,,,,,,,,,,Molalla River,22,0,X,X,X,X,X,X,X,X,218,59,453,425,144,195,265
Sandy River Above Marmot Dam (b),,,,,,,,,,,,,,,,,,,Sandy River Above Marmot Dam (b),--,--,--,--,--,--,--,--,--,--,50,63,145,202,683,436,143
Sandy River Below Marmot Dam (b),,,,,,,,,,,,,,,,,,,Sandy River Below Marmot Dam (b),116,597,"1,260","1,739",854,"1,259","1,124",875,572,932,972,587,"1,897","1,739","1,537","1,968","1,176"
Santiam River,,,,,,,,,,,,,,,,,,,Santiam River,103,81,194,98,235,114,66,121,101,243,263,291,225,286,466,334,129
Snake River,,,,,,,,,,,,,,,,,,,Snake River,--,--,--,--,--,--,--,--,--,--,--,67,0,18,17,0,0
North Santiam River,,,,,,,,,,,,,,,,,,,North Santiam River,381,153,440,847,"1,180",446,558,"1,028",565,"1,804","1,872","1,767","1,700","1,610","1,728","1,835",611
South Santiam River,,,,,,,,,,,,,,,,,,,South Santiam River,393,153,219,145,105,164,409,486,959,"1,465","1,794","1,412","2,420","1,726","2,166","2,057","1,450"
"Willamette River, Lower",,,,,,,,,,,,,,,,,,,"Willamette River, Lower","19,279","12,671","8,815","12,969","22,161","20,692","24,696","15,225","13,952","23,227","30,429","29,015","29,671","39,289","14,733","23,306","13,175"
"Willamette River, Upper",,,,,,,,,,,,,,,,,,,"Willamette River, Upper",671,237,484,428,508,370,532,224,289,524,952,"1,012","1,253","1,036",639,627,287
Coast Fork Willamette River,,,,,,,,,,,,,,,,,,,Coast Fork Willamette River,737,627,9,X,X,X,X,X,X,X,X,X,X,X,0,0,0
Mid. Fk. Willamette River,,,,,,,,,,,,,,,,,,,Mid. Fk. Willamette River,929,219,209,209,983,531,940,184,379,"1,033","2,190","2,962","3,078","1,236",937,"1,272","1,071"
Youngs R. and Bay,,,,,,,,,,,,,,,,,,,Youngs R. and Bay,,,,,,,,,,0,0,0,0,0,0,0,0
Unclassified (c),,,,,,,,,,,,,,,,,,,Unclassified (c),208,48,133,114,226,247,340,168,59,5,24,4,31,66,31,20,24
Total,,,,,,,,,,,,,,,,,,,Total,"29,960","18,484","18,050","23,788","33,816","30,474","35,177","23,439","23,667","38,444","49,422","47,387","62,870","62,205","35,616","41,379","22,964"
