N FK KLASKANINE,-,12,27,276,21,33,22,60,480,221,151,20
S FK KLASKANINE,8,20,4,39,10,13,-,-,6,-,19,-
LEWIS & CLARK R,4,4,-,46,42,25,4,20,6,-,13,-
MCKENZIE R (BELOW LEABURG DAM),564,8,768,1768,1269,1168,582,586,639,604,682,950
LUCKIAMUTE & LITTLE LUCKIAMUTE R,-,-,-,-,-,-,-,-,12,-,-,-
MCKENZIE R (ABOVE LEABURG DAM),4,8,27,25,21,29,13,35,6,-,101,10
MILL CR (MARION CO),-,-,-,-,-,-,-,-,6,-,-,-
MILL CR (YAMHILL CO),-,4,-,-,-,-,-,-,-,-,-,-
MOLALLA R,39,8,12,180,35,104,44,5,59,45,32,-
RICKREALL CR,-,-,4,-,-,-,-,-,18,13,6,-
PUDDING R,4,-,-,-,-,-,-,-,6,-,-,10
SALMON R (SANDY R),-,-,-,-,-,-,-,-,-,-,-,-
SANDY R FROM MOUTH TO REVENUE,,,,,,,,,,,,
720,265,693,899,571,195,265,89,91,442,337,,
SANTIAM R,27,4,61,134,139,79,71,80,89,58,6,10
N FK SANTIAM,352,8,484,796,635,592,293,1398,1741,565,499,266
LITTLE N FK SANTIAM,4,4,12,4,10,4,-,-,6,-,-,-
S FK SANTIAM,332,66,729,2203,1374,1718,635,556,947,1798,1218,613
SCAPPOOSE CR,-,-,-,-,-,-,-,-,-,-,-,-
N FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
S FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
SNAKE R,-,-,-,-,-,-,-,-,189,91,-,10
SUCKER CR,-,-,8,-,-,-,-,-,6,-,-,-
TANNER CR,-,-,-,-,-,-,-,-,-,-,-,-
THOMAS CR (SANT),-,-,-,-,-,-,-,-,-,19,-,-
TUALATIN R,-,-,-,-,-,-,-,-,-,-,-,-
UMATILLA R,-,-,-,4,7,13,16,15,30,-,13,-
WALLA WALLA R,-,12,12,4,3,17,-,5,30,19,6,-
WENAHA R,10,20,4,18,24,38,9,13,24,19,-,41
WILLAMETTE R & SLOUGH BELOW OR CITY,,,,,,,,,,,,
6421,5900,27552,26325,20910,10368,14031,19284,10981,16541,12792,,
WILLAMETTE R ABOVE OR CITY FALLS,100,160,207,725,582,530,129,260,337,182,865,225
MID FK WILL,738,8,779,3816,833,780,502,416,1859,681,1344,204
WILLAMINA CR,-,-,-,-,-,-,-,-,-,-,-,-
YOUNGS R & BAY,19,4,12,74,24,42,18,15,172,58,-,-
SILVER CR,-,-,-,-,-,-,-,-,-,-,-,-
CLACKAMAS R SYSTEM ABOVE NO FK DAM,4,4,23,7,-,-,-,-,6,13,-,-
DESCHUTES R ABOVE SHERARS FALLS,15,15.1,-,6,7,4,-0.1,1,-0.2,-0.3,19,-0.4
SANDY R FROM REVENUE BRIDGE TO SALMON R,-,4,27,95,446,588,311,115,30,91,19,61
JOHN DAY ARM,-,-,-,-,-,8,-,-,6,6,-,-
L FALL CR (WILLAMETTE),-,4,4,4,-,4,4,10,-,-,13,-
COAST FK WILL,19,4,46,46,17,54,36,85,59,97,170,-
COLUMBIA R--BUOY 10 TO ASTORIA BRIDGE,23,59,46,42,49,81,89,100,1741,370,372,153
COLUMBIA R--TONGUE PT TO LONGVIEW,1642,718,1848,2980,3082,3320,1352,2557,3541,2161,2404,1124
COLUMBIA R--LONGVIEW BRIDGE TO I-5,,,,,,,,,,,,
COLUMBIA R--I-5 BRIDGE TO BONNEVILLE,,,,,,,,,,,,
COLUMBIA R--BONNEVILLE DAM TO THE DALLES DAM,89,102,54,187,153,108,93,120,172,123,145,143
COLUMBIA R--THE DALLES DAM TO JOHN,525,806,146,467,617,213,351,942,900,876,126,184
COLUMBIA R--JOHN DAY DAM TO MCNARY,216,442,192,842,101,146,89,696,1966,805,133,296
COLUMBIA R--MCNARY DAM TO STATELINE,4,4,15,32,24,50,18,70,89,58,6,20
LONG TOM,-,-,-,-,-,-,-,-,18,-,19,10
ROW R,-,-,8,14,21,4,9,15,397,71,82,31
WILEY CR (S SANTIAM),-,-,-,-,-,-,-,-,12,-,19,-
BLUE R (MCKENZIE),4,8,12,-,-,-,-,-,53,13,13,-
HOOD R,116,305,349,85,257,244,220,252,290,623,391,450
HOOD R ABOVE POWERDALE DAM,-,-,-,-,-,-,-,-,-,13,-,-
GRANDE RONDE R FROM STATELINE TO WILDCAT BRIDGE,8,4,4,7,10,4,4,40,12,39,32,-
GRANDE RONDE R FROM WILDCAT BRIDGE TO ISLAND CITY BRIDGE,19,-,4,-,-,-,-,-,12,13,-,-
GRANDE RONDE R ABOVE ISLAND CITY,15,-,-,7,14,-,-,15,6,6,-,-
WALLOWA R MOUTH TO MINAM STATE PARK,-,23,8,46,21,8,-,20,12,6,6,-
WALLOWA R ABOVE MINAM STATE PARK,50,43,35,113,59,21,13,75,30,26,13,-
UMATILLA R BELOW THREE-MILE DAM,383,47,43,323,26,481,117,1056,1018,124,877,286
UMATILLA R ABOVE NOLIN,8,79,88,39,117,4,4.1,164,-,-0.1,25,10
JOHN DAY R BELOW COTTONWOOD BRIDGE,4,4,-,1,10,8,4,-,6,1,6,41
JOHN DAY R ABOVE COTTONWOOD BRIDGE,-,-,4,11,7,54,-,5,18,6,13,-
LOOKINGGLASS CR,-,4,4,4,268,517,9,110,130,39,-,51
POWDER R,-,39,4,46,38,63,-,25,89,26,6,-
UMATILLA R THREE-MILE DAM TO NOLIN,31,18,19,30,12,46,13,65,12,13,19,-
SANDY R ABOVE SALMON R,-,-,-,-,-,-,-,-,41,39,-,10
CLACK R.-CARVER BR. TO BAKERS FERRY,-,-,-,-,-,83,93,40,77,52,25,20
CLACK R-BAKERS FERRY RD TO RVR MILL,-,-,-,-,-,271,404,230,491,350,189,10
CLACK R-RIVER MILL DAM TO CAZADERO,-,-,-,-,-,138,9,60,107,110,38,10
JOHN DAY R (CLATSOP CTY),-,-,-,-,-,10,-,-,-,-,-,-
