,Unnamed: 0,"Sport catch of winter steelhead in Oregon streams and rivers, 1995-2007",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
Code,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,92.0,SWEET CR (SIUSLAW R),7.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,3.0,0.0,0.0
93,,,,,,,,,,,,,,,93.0,TAHKENITCH CR & LK,0.0,9.0,15.0,3.0,9.0,0.0,93.0,9.0,3.0,25.0,15.0,8.0
94,,,,,,,,,,,,,,,94.0,TENMILE CR & LK (COOS CO),21.0,47.0,21.0,18.0,34.0,30.0,300.0,227.0,389.0,225.0,466.0,274.0
95,,,,,,,,,,,,,,,95.0,TENMILE CR (LANE CO),47.0,6.0,42.0,21.0,4.0,9.0,45.0,24.0,26.0,23.0,4.0,16.0
96,,,,,,,,,,,,,,,96.0,THREE R,1229.0,1039.0,763.0,788.0,574.0,360.0,1466.0,358.0,1410.0,381.0,380.0,370.0
97,,,,,,,,,,,,,,,97.0,TILLAMOOK BAY,19.0,5.0,14.0,11.0,16.0,34.0,23.0,40.0,13.0,25.0,21.0,20.0
98,,,,,,,,,,,,,,,98.0,TILLAMOOK R,47.0,3.0,3.0,12.0,16.0,7.0,30.0,3.0,3.0,0.0,4.0,20.0
99,,,,,,,,,,,,,,,99.0,TRASK R,124.0,279.0,221.0,164.0,215.0,169.0,388.0,268.0,187.0,190.0,217.0,223.0
100,,,,,,,,,,,,,,,100.0,N FK TRASK,17.0,71.0,18.0,27.0,4.0,3.0,24.0,20.0,49.0,7.0,43.0,30.0
101,,,,,,,,,,,,,,,101.0,S FK TRASK,13.0,6.0,6.0,3.0,3.0,19.0,20.0,15.0,4.0,29.0,28.0,15.0
102,,,,,,,,,,,,,,,102.0,UMPQUA R & BAY,2719.0,1924.0,1609.0,753.0,396.0,981.0,596.0,630.0,1077.0,2504.0,2332.0,4097.0
103,,,,,,,,,,,,,,,103.0,N FK UMPQUA BELOW WINCHESTERDAM,258.0,353.0,153.0,391.0,250.0,282.0,402.0,477.0,495.0,244.0,589.0,362.0
104,,,,,,,,,,,,,,,104.0,S FK UMPQUA,288.0,362.0,207.0,213.0,65.0,520.0,1034.0,470.0,769.0,313.0,1163.0,1579.0
105,,,,,,,,,,,,,,,105.0,WILSON R,917.0,794.0,673.0,786.0,1486.0,1017.0,2252.0,1676.0,2188.0,950.0,1479.0,1480.0
106,,,,,,,,,,,,,,,106.0,S FK. WILSON R.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,,,,,,,,,,,,,,,107.0,LITTLE N FK (WILSON),9.0,9.0,6.0,15.0,8.0,3.0,12.0,0.0,3.0,12.0,28.0,31.0
108,,,,,,,,,,,,,,,108.0,WINCHUCK R,100.0,189.0,210.0,153.0,43.0,33.0,42.0,113.0,80.0,81.0,113.0,128.0
109,,,,,,,,,,,,,,,109.0,WOAHINK LK,0.0,11.0,0.0,0.0,7.0,12.0,39.0,12.0,47.0,22.0,15.0,0.0
110,,,,,,,,,,,,,,,110.0,YACHATS R,18.0,19.0,21.0,12.0,15.0,3.0,30.0,21.0,16.0,14.0,26.0,15.0
111,,,,,,,,,,,,,,,111.0,YAQUINA R & BAY,10.0,21.0,9.0,18.0,14.0,17.0,24.0,49.0,15.0,18.0,20.0,30.0
201.0,,,,,,,,,,,,,,,201.0,N FK UMPQUA FROM WINCHESTER TOROCK CR,516.0,823.0,686.0,779.0,596.0,934.0,893.0,889.0,1230.0,825.0,949.0,849.0
204.0,,,,,,,,,,,,,,,204.0,NEHALEM R ABOVE HWY 26/ELSIE,12.0,13.0,3.0,9.0,4.0,10.0,9.0,12.0,20.0,7.0,19.0,15.0
206.0,,,,,,,,,,,,,,,206.0,CALAPOOYA CR (UMPQUA R),5.0,3.0,12.0,21.0,25.0,14.0,18.0,3.0,3.0,8.0,11.0,4.0
